UTC Date - 2015-09-27 21:11:07,301; [d:\TELERIK\Teamworks\TEAMWORK - BALOON-master\Original\Log\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Start initialization
UTC Date - 2015-09-27 21:11:55,873; [d:\TELERIK\Teamworks\TEAMWORK - BALOON-master\Original\Log\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Start initialization
UTC Date - 2015-09-27 21:11:55,967; [d:\TELERIK\Teamworks\TEAMWORK - BALOON-master\Original\Log\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Starting the game
UTC Date - 2015-09-30 02:23:38,722; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Start initialization
UTC Date - 2015-09-30 02:23:38,819; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Starting the game
UTC Date - 2015-09-30 02:28:59,675; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Start initialization
UTC Date - 2015-09-30 02:28:59,787; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Starting the game
UTC Date - 2015-09-30 02:37:25,215; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Start initialization
UTC Date - 2015-09-30 02:37:25,324; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Starting the game
UTC Date - 2015-09-30 02:43:35,722; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Start initialization
UTC Date - 2015-09-30 02:43:35,820; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Starting the game
UTC Date - 2015-09-30 02:43:48,516; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Start initialization
UTC Date - 2015-09-30 02:43:48,610; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Starting the game
UTC Date - 2015-09-30 02:44:05,828; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Start initialization
UTC Date - 2015-09-30 02:44:05,921; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Starting the game
UTC Date - 2015-09-30 02:44:37,882; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Start initialization
UTC Date - 2015-09-30 02:44:37,991; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Starting the game
UTC Date - 2015-09-30 02:46:59,253; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Start initialization
UTC Date - 2015-09-30 02:46:59,356; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Starting the game
UTC Date - 2015-09-30 02:49:54,899; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Start initialization
UTC Date - 2015-09-30 02:49:54,997; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Starting the game
UTC Date - 2015-09-30 02:58:05,244; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Start initialization
UTC Date - 2015-09-30 02:58:05,337; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Starting the game
UTC Date - 2015-09-30 02:58:21,812; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Start initialization
UTC Date - 2015-09-30 02:58:21,906; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Starting the game
UTC Date - 2015-09-30 02:59:25,432; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Start initialization
UTC Date - 2015-09-30 02:59:25,526; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Starting the game
UTC Date - 2015-09-30 03:00:54,974; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Start initialization
UTC Date - 2015-09-30 03:00:55,075; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Starting the game
UTC Date - 2015-09-30 03:02:46,454; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Start initialization
UTC Date - 2015-09-30 03:02:46,563; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Starting the game
UTC Date - 2015-09-30 03:05:10,191; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Start initialization
UTC Date - 2015-09-30 03:05:10,285; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Starting the game
UTC Date - 2015-09-30 03:05:40,026; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Start initialization
UTC Date - 2015-09-30 03:05:40,135; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Starting the game
UTC Date - 2015-09-30 03:15:00,667; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Start initialization
UTC Date - 2015-09-30 03:15:00,765; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Starting the game
UTC Date - 2015-09-30 03:17:51,454; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Start initialization
UTC Date - 2015-09-30 03:17:51,563; [c:\Users\Pc\Desktop\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Starting the game
UTC Date - 2015-10-03 09:40:16,571; [c:\Users\Ivaylo\Documents\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Start initialization
UTC Date - 2015-10-03 09:40:16,662; [c:\Users\Ivaylo\Documents\Main\src\BalloonsPop.ConsoleUI\MainProgram.cs] Level - INFO  - Starting the game
